brand,model,submodel,year,age,mileage,mileage_per_year,mileage_missing,gear,engine,color,price,priceType,sourceName,sourceType,sourceUrl,externalId,dateRecorded,created_at,updated_at,id
NISSAN,FRONTIER NAVARA,FRONTIER NAVARA 2.5 DOUBLE CAB SV LE 4WD (DVD) MAN,2014,11,100000,9090.909091,1,UNKNOWN,UNKNOWN,UNKNOWN,264000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17308
NISSAN,FRONTIER NAVARA,FRONTIER NAVARA 2.5 SINGLE CAB XE 2WD MAN,2014,11,100000,9090.909091,1,UNKNOWN,UNKNOWN,UNKNOWN,131000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17309
NISSAN,FRONTIER NAVARA,FRONTIER NAVARA 2.5 CAB CALIBRE SE 2WD MAN,2013,12,100000,8333.333333,1,UNKNOWN,UNKNOWN,UNKNOWN,164500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17310
NISSAN,FRONTIER NAVARA,FRONTIER NAVARA 2.5 CAB SE 2WD MAN,2013,12,100000,8333.333333,1,UNKNOWN,UNKNOWN,UNKNOWN,150000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17311
NISSAN,FRONTIER NAVARA,FRONTIER NAVARA 2.5 CAB SV LE 4WD (DVD) MAN,2013,12,100000,8333.333333,1,UNKNOWN,UNKNOWN,UNKNOWN,216000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17312
NISSAN,FRONTIER NAVARA,FRONTIER NAVARA 2.5 DOUBLE CAB GT 2WD MAN,2013,12,100000,8333.333333,1,UNKNOWN,UNKNOWN,UNKNOWN,208500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17313
NISSAN,FRONTIER NAVARA,FRONTIER NAVARA 2.5 DOUBLE CAB SE 2WD MAN,2013,12,100000,8333.333333,1,UNKNOWN,UNKNOWN,UNKNOWN,170000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17314
NISSAN,FRONTIER NAVARA,FRONTIER NAVARA 2.5 DOUBLE CAB SV LE 4WD (DVD),2013,12,100000,8333.333333,1,UNKNOWN,UNKNOWN,UNKNOWN,249500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17315
NISSAN,FRONTIER NAVARA,FRONTIER NAVARA 2.5 SINGLE CAB XE 2WD MAN,2013,12,100000,8333.333333,1,UNKNOWN,UNKNOWN,UNKNOWN,120000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17316
NISSAN,FRONTIER NAVARA,FRONTIER NAVARA 2.5 CAB CALIBRE SE 2WD MAN,2012,13,100000,7692.307692,1,UNKNOWN,UNKNOWN,UNKNOWN,152500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17317
NISSAN,FRONTIER NAVARA,FRONTIER NAVARA 2.5 CAB SE 2WD MAN,2012,13,100000,7692.307692,1,MT,UNKNOWN,UNKNOWN,136500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17318
NISSAN,FRONTIER NAVARA,FRONTIER NAVARA 2.5 CAB SV 5SP 2WD,2012,13,100000,7692.307692,1,UNKNOWN,UNKNOWN,UNKNOWN,181000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17319
NISSAN,FRONTIER NAVARA,FRONTIER NAVARA 2.5 CAB SV LE 4WD (DVD) MAN,2012,13,100000,7692.307692,1,UNKNOWN,UNKNOWN,UNKNOWN,196500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17320
NISSAN,FRONTIER NAVARA,FRONTIER NAVARA 2.5 DOUBLE CAB SE 2WD MAN,2012,13,100000,7692.307692,1,UNKNOWN,UNKNOWN,UNKNOWN,156500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17321
